sbp,dbp,cp,sut,dt,dt10,st10_p_dt10,st10_d_dt10,dt25,st25_p_dt25,st25_d_dt25,dt33,st33_p_dt33,st33_d_dt33,dt50,st50_p_dt50,st50_d_dt50,dt66,st66_p_dt66,st66_d_dt66,dt75,st75_p_dt75,st75_d_dt75
124.6013,67.30718,0.496,0.128,0.376,0.288,0.384,3,0.192,0.272,2.4,0.152,0.232,1.9,0.112,0.176,1.75,0.088,0.144,1.571429,0.08,0.128,1.666667
123.0383,66.52567,0.504,0.12,0.376,0.296,0.384,3.363636,0.192,0.272,2.4,0.152,0.224,2.111111,0.12,0.184,1.875,0.096,0.144,2,0.08,0.128,1.666667
120.9868,65.59763,0.488,0.128,0.368,0.28,0.376,2.916667,0.184,0.264,2.3,0.144,0.224,1.8,0.112,0.176,1.75,0.088,0.144,1.571429,0.072,0.12,1.5
118.3493,66.13492,0.488,0.12,0.368,0.288,0.376,3.272727,0.176,0.248,2.444444,0.144,0.216,2,0.112,0.168,2,0.088,0.136,1.833333,0.072,0.112,1.8
119.5704,66.13492,0.504,0.12,0.376,0.288,0.376,3.272727,0.208,0.28,2.888889,0.16,0.232,2.222222,0.12,0.176,2.142857,0.096,0.144,2,0.08,0.12,2
122.3545,67.50255,0.488,0.128,0.36,0.28,0.376,2.916667,0.184,0.264,2.3,0.144,0.224,1.8,0.112,0.176,1.75,0.088,0.144,1.571429,0.072,0.12,1.5
122.7452,67.60024,0.488,0.128,0.368,0.28,0.376,2.916667,0.184,0.264,2.3,0.152,0.224,2.111111,0.12,0.184,1.875,0.088,0.136,1.833333,0.08,0.12,2
121.6218,67.06296,0.48,0.12,0.36,0.272,0.368,2.833333,0.184,0.264,2.3,0.152,0.224,2.111111,0.112,0.176,1.75,0.088,0.136,1.833333,0.08,0.12,2
120.1565,67.50255,0.488,0.12,0.36,0.28,0.368,3.181818,0.168,0.24,2.333333,0.144,0.208,2.25,0.112,0.168,2,0.088,0.136,1.833333,0.08,0.12,2
122.0614,68.28406,0.488,0.128,0.36,0.28,0.376,2.916667,0.192,0.272,2.4,0.152,0.232,1.9,0.112,0.176,1.75,0.088,0.144,1.571429,0.072,0.12,1.5
